39 7 1e-07
np.float64(0.25198196374469656) np.float64(-0.26865868339217663)
np.float64(0.6600829482796683) np.float64(-0.6242032642156299)
np.float64(0.6025835230966596) np.float64(0.2654034904036178)
np.float64(0.6920961296146465) np.float64(-0.17547249825356231)
np.float64(0.5048828117070082) np.float64(-0.20915281906806293)
np.float64(0.13045617589173175) np.float64(-0.2765134606970642)
np.float64(0.6355002463912853) np.float64(-0.24387011171727763)
np.float64(0.2117782992207668) np.float64(-0.3298998727066034)
np.float64(0.1867850847496168) np.float64(-0.21185804361984936)
np.float64(0.631333235688164) np.float64(-0.17939988690600603)
np.float64(0.42728274342067807) np.float64(-0.0016275964942794041)
np.float64(0.45603245601218245) np.float64(-0.4464309738039033)
np.float64(0.41127615275318913) np.float64(-0.22599297947531324)
np.float64(0.19121906981821415) np.float64(-0.2725860720446204)
np.float64(0.3952695620857) np.float64(-0.45035836245634703)
np.float64(0.3665198494941957) np.float64(-0.005554985146723174)
np.float64(1.0106845076316315) np.float64(-0.09014109041983542)
np.float64(0.19448253856168785) np.float64(0.6209480712270711)
np.float64(0.30948138892770527) np.float64(-1.1582654380114243)
np.float64(1.140544316890839) np.float64(-0.21122676273749108)
np.float64(0.29310042254980184) np.float64(-0.3832862847161427)
np.float64(0.24311399360750185) np.float64(-0.14720262654263455)
np.float64(1.1322102954845963) np.float64(-0.08228631311494788)
np.float64(0.7241093109496244) np.float64(0.27325826770850536)
np.float64(0.7816087361326332) np.float64(-0.6163484869107424)
np.float64(0.46944163227225494) np.float64(-0.23876807578677375)
np.float64(1.812619601238628) np.float64(-0.054143469824460104)
np.float64(0.16260242114281634) np.float64(0.3815939298680644)
np.float64(0.32372086380488696) np.float64(-0.7905723772710799)
np.float64(0.6344810032225534) np.float64(-0.22810081307442048)
np.float64(0.33118753250419264) np.float64(-0.1480069147388497)
np.float64(0.36080308576096476) np.float64(-0.36346551228551977)
np.float64(0.43200203610112087) np.float64(-0.26107439565340546)
np.float64(1.2537360833375613) np.float64(-0.07443153581006046)
np.float64(0.31766949379936993) np.float64(-0.24283313988256355)
np.float64(0.5984894706608274) np.float64(-0.19231265866081262)
np.float64(-0.1881322021252534) np.float64(-0.36184486853079095)
np.float64(0.6280697669446901) np.float64(-1.0729340301776975)
np.float64(0.5130709165786728) np.float64(0.706279479060798)
