58 7 1e-07
np.float64(-0.3870869979731843) np.float64(-2.1485682390055993)
np.float64(-1.4616059360005391) np.float64(0.6810509848123488)
np.float64(0.6463084302424812) np.float64(-0.45794513374916784)
np.float64(0.322940614674307) np.float64(-0.631544751851653)
np.float64(-0.7453719224302768) np.float64(-1.2050670367753775)
np.float64(0.47281325167223337) np.float64(-0.7417812622367013)
np.float64(0.4530640561414942) np.float64(-0.3535269488552668)
np.float64(-0.9243464669868617) np.float64(-0.7337586270966252)
np.float64(0.12961071613464845) np.float64(-1.3032566863773836)
np.float64(-0.03207319164943864) np.float64(-1.390056495428626)
np.float64(-0.40764875287902896) np.float64(0.11155292553159049)
np.float64(-0.569332660663116) np.float64(0.024753116480347892)
np.float64(0.4846245224583941) np.float64(-0.5447449428004104)
np.float64(-0.8489325110703824) np.float64(-0.7051209492275585)
np.float64(-0.4007948345770808) np.float64(-0.6418207959808061)
np.float64(0.49548051840952234) np.float64(-0.5152204894873011)
np.float64(-1.205879880668989) np.float64(-0.8406680593419861)
np.float64(-0.5085841064331388) np.float64(-0.6996873353483011)
np.float64(0.8860074420385615) np.float64(-0.4177258873609311)
np.float64(1.2641188833929253) np.float64(-1.9967261827263107)
np.float64(0.19405401564786798) np.float64(-1.07935270820214)
np.float64(-1.9460757198422467) np.float64(0.7553942408462015)
np.float64(-0.13680281319638862) np.float64(0.6128013828280614)
np.float64(-0.16411896369458365) np.float64(-0.136146300262824)
np.float64(-0.21875126469097367) np.float64(-1.634041666444595)
np.float64(-0.13627933537902173) np.float64(-0.9734241495060394)
np.float64(0.4629386539068638) np.float64(-0.547654105545984)
np.float64(-0.14615393314439132) np.float64(-0.7792969928153222)
np.float64(0.060168461794483576) np.float64(-0.7667917492891152)
np.float64(-0.2923787410368876) np.float64(-1.29376869495731)
np.float64(-0.5978505736828865) np.float64(-0.23734903336237734)
np.float64(0.8861862542805959) np.float64(-0.407733887718689)
np.float64(1.6220614979392645) np.float64(-0.6130990289851781)
np.float64(-1.1011343583956172) np.float64(-1.588114834794931)
np.float64(1.1928664892005028) np.float64(-0.8483633747395756)
np.float64(1.039197698649661) np.float64(-0.10465384729868255)
np.float64(-1.614242946128496) np.float64(-0.82630835046381)
np.float64(0.4008339194188779) np.float64(-1.8185875195761223)
np.float64(0.09365583979965092) np.float64(-1.8927406889742886)
np.float64(-0.5333777843281187) np.float64(0.6142371190772535)
np.float64(-0.8405558639473458) np.float64(0.540083949679087)
np.float64(1.1745210016000285) np.float64(-0.45219521943322577)
np.float64(-1.7922656401046315) np.float64(-0.8038959867441838)
np.float64(-5.745628382874729) np.float64(-0.7177100528385402)
np.float64(1.1372729233035588) np.float64(-0.4039416884754904)
np.float64(-1.1934166128351333) np.float64(-0.8381221599150426)
np.float64(-3.5380026518987235) np.float64(-1.3338054766380045)
np.float64(0.6495196726340173) np.float64(-0.4650987616633918)
np.float64(0.14701281106919023) np.float64(-0.9748505238346723)
np.float64(0.9141078319917243) np.float64(-1.8449600397069386)
np.float64(-0.5703717559169257) np.float64(-0.3560665832780477)
np.float64(-0.167110085652766) np.float64(0.15593697707258247)
np.float64(-0.002307665946272297) np.float64(1.3242989450778597)
np.float64(-0.2187396116684032) np.float64(-1.644487940058724)
np.float64(0.4845356932827565) np.float64(-3.455539047132042)
np.float64(1.2188068843639224) np.float64(-0.44625426115500766)
np.float64(2.7230776448245546) np.float64(-6.23090836606999)
np.float64(2.7376884463901305) np.float64(-1.9862735673502872)
